(353, bpin, Read) 
(360, number, Read) 
(360, number_nonblank, Read) 
(363, bpout, Read) 
(363, line_num_print, Read) 
(368, show_ends, Read) 
(370, pending_cr, Read) 
(372, bpout, Read) 
(373, bpout, Read) 
(376, bpout, Read) 
(381, bpout, Read) 
(383, bpin, Read) 
(385, ch, Read) 
(389, pending_cr, Read) 
(391, bpout, Read) 
(397, number, Read) 
(397, newlines, Read) 
(400, bpout, Read) 
(400, line_num_print, Read) 
(409, show_nonprinting, Read) 
(413, ch, Read) 
(415, ch, Read) 
(416, ch, Read) 
(416, bpout, Read) 
(417, ch, Read) 
(419, bpout, Read) 
(420, bpout, Read) 
(424, bpout, Read) 
(425, bpout, Read) 
(426, ch, Read) 
(428, ch, Read) 
(429, ch, Read) 
(429, bpout, Read) 
(432, bpout, Read) 
(433, bpout, Read) 
(438, bpout, Read) 
(439, ch, Read) 
(439, bpout, Read) 
(443, ch, Read) 
(443, show_tabs, Read) 
(444, bpout, Read) 
(445, ch, Read) 
(452, bpout, Read) 
(453, ch, Read) 
(453, bpout, Read) 
(456, bpin, Read) 
(464, ch, Read) 
(464, show_tabs, Read) 
(466, bpout, Read) 
(467, ch, Read) 
(467, bpout, Read) 
(469, ch, Read) 
(471, ch, Read) 
(471, show_ends, Read) 
(471, bpin, Read) 
(473, eob, Read) 
(473, bpin, Read) 
(477, bpout, Read) 
(478, bpout, Read) 
(482, ch, Read) 
(482, bpout, Read) 
(490, bpin, Read) 
(514, some_copied, Write) 
(259, wp, Write) 
(260, remaining_bytes, Write) 
(523, .str.26, Write) 
(779, bufsize, Write) 
(268, bpout, Write) 
(783, outbuf, Write) 
(785, ok, Write) 
(275, input_pending, Write) 
(277, n_to_read, Write) 
(533, have_read_stdin, Write) 
(533, .str.30, Write) 
(538, number, Write) 
(283, n_to_read, Write) 
(539, number_nonblank, Write) 
(540, squeeze_blank, Write) 
(797, .str.26, Write) 
(541, show_ends, Write) 
(798, ok, Write) 
(542, show_nonprinting, Write) 
(543, show_tabs, Write) 
(544, file_open_mode, Write) 
(801, argind, Write) 
(292, use_fionread, Write) 
(805, .str.28, Write) 
(295, .str.47, Write) 
(297, newlines2, Write) 
(810, .str.29, Write) 
(302, input_pending, Write) 
(306, bpout, Write) 
(562, .str.18, Write) 
(310, n_read, Write) 
(313, .str.26, Write) 
(314, bpout, Write) 
(570, close_stdout, Write) 
(315, newlines2, Write) 
(575, .str.19, Write) 
(575, c, Write) 
(575, main.long_options, Write) 
(320, bpout, Write) 
(321, newlines2, Write) 
(581, number, Write) 
(582, number_nonblank, Write) 
(328, bpin, Write) 
(329, eob, Write) 
(586, show_ends, Write) 
(587, show_nonprinting, Write) 
(591, number, Write) 
(339, newlines, Write) 
(83, blocksize, Write) 
(595, squeeze_blank, Write) 
(599, show_tabs, Write) 
(87, blocksize, Write) 
(87, .str, Write) 
(600, show_nonprinting, Write) 
(346, newlines, Write) 
(90, .str.1, Write) 
(94, .str.2, Write) 
(608, show_nonprinting, Write) 
(353, ch, Write) 
(353, bpin, Write) 
(97, leading_zeros, Write) 
(612, show_nonprinting, Write) 
(100, .str.3, Write) 
(100, power, Write) 
(613, show_ends, Write) 
(102, blocksize, Write) 
(614, show_tabs, Write) 
(618, show_ends, Write) 
(363, bpout, Write) 
(109, .str.4, Write) 
(622, show_tabs, Write) 
(627, .str.8, Write) 
(627, .str.22, Write) 
(627, .str.21, Write) 
(627, .str.20, Write) 
(627, .str.23, Write) 
(115, .str.5, Write) 
(372, bpout, Write) 
(116, .str.6, Write) 
(373, bpout, Write) 
(117, .str.7, Write) 
(374, pending_cr, Write) 
(376, bpout, Write) 
(633, __const.emit_ancillary_info.infomap, Write) 
(633, infomap, Write) 
(636, stat_buf, Write) 
(124, .str.8, Write) 
(381, bpout, Write) 
(637, .str.24, Write) 
(383, ch, Write) 
(383, bpin, Write) 
(640, stat_buf, Write) 
(640, outsize, Write) 
(643, node, Write) 
(644, map_prog, Write) 
(645, out_flags, Write) 
(134, endp, Write) 
(646, have_out_dev, Write) 
(391, bpout, Write) 
(647, map_prog, Write) 
(392, pending_cr, Write) 
(649, out_dev, Write) 
(650, node, Write) 
(650, out_ino, Write) 
(139, endp, Write) 
(654, out_isreg, Write) 
(144, line_num_start, Write) 
(400, bpout, Write) 
(656, lc_messages, Write) 
(657, .str.40, Write) 
(146, line_buf, Write) 
(658, file_open_mode, Write) 
(148, line_num_print, Write) 
(663, .str.41, Write) 
(664, infile, Write) 
(665, argind, Write) 
(666, ok, Write) 
(667, page_size, Write) 
(669, url_program, Write) 
(669, .str.31, Write) 
(670, .str.44, Write) 
(670, .str.43, Write) 
(416, bpout, Write) 
(672, infile, Write) 
(672, .str.45, Write) 
